t,event,slug,data
1.0167,item_spawned,pouf,"{""zone_true"": ""C""}"
6.95,item_detected,pouf,
6.95,vision_capture,pouf,
7.5,item_classified,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""latency_ms"": 550.0, ""mode"": ""oracle_lookahead""}"
7.8167,routing_cmd,pouf,"{""zone"": ""C""}"
8.1,table_entry,pouf,"{""command_margin_s"": 0.6}"
8.55,item_spawned,pen,"{""zone_true"": ""C""}"
10.95,item_delivered,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [9.079, 3.006, 0.523]}"
14.4833,item_detected,pen,
14.4833,vision_capture,pen,
15.0333,item_classified,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""latency_ms"": 550.0, ""mode"": ""oracle_lookahead""}"
15.35,routing_cmd,pen,"{""zone"": ""C""}"
15.6333,table_entry,pen,"{""command_margin_s"": 0.6}"
16.1333,item_spawned,bottle,"{""zone_true"": ""D""}"
18.4333,item_delivered,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [9.08, 2.998, 0.371]}"
21.9167,item_detected,bottle,
21.9167,vision_capture,bottle,
22.4,item_spawned,helmet,"{""zone_true"": ""D""}"
22.4667,item_classified,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""latency_ms"": 550.0, ""mode"": ""oracle_lookahead""}"
22.7833,routing_cmd,bottle,"{""zone"": ""D""}"
23.0333,table_entry,bottle,"{""command_margin_s"": 0.567}"
25.6333,item_delivered,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.13, 1.966, 0.438]}"
28.1,item_detected,helmet,
28.1,vision_capture,helmet,
28.6667,item_classified,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""latency_ms"": 566.7, ""mode"": ""oracle_lookahead""}"
28.95,routing_cmd,helmet,"{""zone"": ""D""}"
29.1833,table_entry,helmet,"{""command_margin_s"": 0.517}"
29.3167,item_spawned,lunchbox,"{""zone_true"": ""B""}"
31.7833,item_delivered,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.062, 1.933, 0.543]}"
35.2833,item_detected,lunchbox,
35.85,item_classified,lunchbox,"{""zone"": ""B"", ""zone_true"": ""B"", ""latency_ms"": 566.7, ""mode"": ""oracle_lookahead""}"
36.0667,item_spawned,detergent,"{""zone_true"": ""B""}"
36.1667,routing_cmd,lunchbox,"{""zone"": ""B""}"
36.45,table_entry,lunchbox,"{""command_margin_s"": 0.6}"
41.7333,item_delivered,lunchbox,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.392, 5.703, 0.731]}"
41.9333,item_detected,detergent,
42.5167,item_classified,detergent,"{""zone"": ""B"", ""zone_true"": ""B"", ""latency_ms"": 583.3, ""mode"": ""oracle_lookahead""}"
42.8167,routing_cmd,detergent,"{""zone"": ""B""}"
43.0833,table_entry,detergent,"{""command_margin_s"": 0.567}"
43.9333,item_spawned,box_l,"{""zone_true"": ""C""}"
48.4,item_delivered,detergent,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.381, 5.7, 0.775]}"
