t,event,slug,data
1.0167,item_spawned,pouf,"{""zone_true"": ""C""}"
2.8333,item_detected,pouf,
2.8333,vision_capture,pouf,
3.0333,item_classified,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 2, ""sensor_miss"": false, ""dims_mm"": [439.6, 438.4, 264.0], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 200.0, ""mode"": ""rtx_depth_3head""}"
3.0667,routing_cmd,pouf,"{""zone"": ""C""}"
3.5667,table_entry,pouf,"{""command_margin_s"": 0.533}"
8.55,item_spawned,pen,"{""zone_true"": ""C""}"
8.9,item_delivered,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [9.075, 2.98, 0.527]}"
10.3667,item_detected,pen,
10.3667,vision_capture,pen,
10.5833,item_classified,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 2, ""sensor_miss"": false, ""dims_mm"": [142.8, 8.7, 8.0], ""reason"": ""undersize: min dim 8.0 mm below certification floor 16 mm"", ""latency_ms"": 216.7, ""mode"": ""rtx_depth_3head""}"
10.6,routing_cmd,pen,"{""zone"": ""C""}"
10.6667,table_entry,pen,"{""command_margin_s"": 0.083}"
15.15,item_delivered,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [9.091, 2.995, 0.363]}"
16.1333,item_spawned,bottle,"{""zone_true"": ""D""}"
17.9833,item_detected,bottle,
17.9833,vision_capture,bottle,
18.1833,item_classified,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 2, ""sensor_miss"": false, ""dims_mm"": [287.2, 100.1, 86.0], ""reason"": ""circle evidence: circ=0.38 sect=0.83 dome=0.71 flank=15.4mm elong=3.4 h/w=1.16"", ""latency_ms"": 200.0, ""mode"": ""rtx_depth_3head""}"
18.25,routing_cmd,bottle,"{""zone"": ""D""}"
18.3667,table_entry,bottle,"{""command_margin_s"": 0.183}"
22.0167,item_delivered,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [7.961, 1.967, 0.441]}"
22.4,item_spawned,helmet,"{""zone_true"": ""D""}"
24.35,item_detected,helmet,
24.55,item_classified,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 2, ""sensor_miss"": false, ""dims_mm"": [344.5, 292.2, 290.0], ""reason"": ""circle evidence: circ=0.79 sect=0.00 dome=0.63 flank=104.7mm elong=1.2 h/w=0.99"", ""latency_ms"": 200.0, ""mode"": ""rtx_depth_3head""}"
24.5833,routing_cmd,helmet,"{""zone"": ""D""}"
24.65,table_entry,helmet,"{""command_margin_s"": 0.1}"
28.1167,item_delivered,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.192, 1.97, 0.556]}"
29.3167,item_spawned,lunchbox,"{""zone_true"": ""B""}"
31.1333,item_detected,lunchbox,
