t,event,slug,data
1.0167,item_spawned,pouf,"{""zone_true"": ""C""}"
6.55,item_detected,pouf,
7.05,item_classified,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [439.6, 439.5, 264.0], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 500.0, ""mode"": ""rtx_depth_3head""}"
7.35,routing_cmd,pouf,"{""zone"": ""C""}"
7.35,gate_commanded,,"{""gate"": ""C"", ""target"": ""open""}"
7.3833,gate_opening,,"{""gate"": ""C"", ""frac"": 0.113}"
7.6,table_entry,pouf,"{""command_margin_s"": 0.55}"
7.6333,gate_open,,"{""gate"": ""C"", ""frac"": 0.927}"
8.55,item_spawned,pen,"{""zone_true"": ""C""}"
10.0167,exit_verified,pouf,"{""gate"": ""C"", ""gate_state"": ""open""}"
10.0167,gate_commanded,,"{""gate"": ""C"", ""target"": ""closed""}"
10.05,gate_closing,,"{""gate"": ""C"", ""frac"": 0.862}"
10.1333,item_delivered,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [9.07, 2.999, 0.529]}"
10.3333,gate_closed,,"{""gate"": ""C"", ""frac"": 0.045}"
14.1,item_detected,pen,
14.6167,item_classified,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 6, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [141.8, 8.7, 8.0], ""reason"": ""undersize: min dim 8.0 mm below certification floor 16 mm"", ""latency_ms"": 516.7, ""mode"": ""rtx_depth_3head""}"
14.9,routing_cmd,pen,"{""zone"": ""C""}"
14.9,gate_commanded,,"{""gate"": ""C"", ""target"": ""open""}"
14.9333,gate_opening,,"{""gate"": ""C"", ""frac"": 0.113}"
15.15,table_entry,pen,"{""command_margin_s"": 0.533}"
15.1833,gate_open,,"{""gate"": ""C"", ""frac"": 0.927}"
16.1333,item_spawned,bottle,"{""zone_true"": ""D""}"
17.55,exit_verified,pen,"{""gate"": ""C"", ""gate_state"": ""open""}"
17.55,gate_commanded,,"{""gate"": ""C"", ""target"": ""closed""}"
17.5833,gate_closing,,"{""gate"": ""C"", ""frac"": 0.862}"
17.6667,item_delivered,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [9.076, 3.003, 0.373]}"
21.7,item_detected,bottle,
22.2167,item_classified,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 6, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [285.8, 100.1, 86.3], ""reason"": ""circle evidence: circ=0.37 sect=0.87 dome=0.71 flank=18.6mm elong=3.3 h/w=1.16"", ""latency_ms"": 516.7, ""mode"": ""rtx_depth_3head""}"
22.4,item_spawned,helmet,"{""zone_true"": ""D""}"
22.5,routing_cmd,bottle,"{""zone"": ""D""}"
22.5,gate_commanded,,"{""gate"": ""D"", ""target"": ""open""}"
22.5333,gate_opening,,"{""gate"": ""D"", ""frac"": 0.11}"
22.7667,table_entry,bottle,"{""command_margin_s"": 0.55}"
22.7833,gate_open,,"{""gate"": ""D"", ""frac"": 0.927}"
25.3,exit_verified,bottle,"{""gate"": ""D"", ""gate_state"": ""open""}"
25.3,gate_commanded,,"{""gate"": ""D"", ""target"": ""closed""}"
25.3333,gate_closing,,"{""gate"": ""D"", ""frac"": 0.862}"
25.4167,item_delivered,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.043, 1.964, 0.435]}"
25.6167,gate_closed,,"{""gate"": ""D"", ""frac"": 0.044}"
27.8833,item_detected,helmet,
28.4,item_classified,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 6, ""confidence"": 0.833, ""sensor_miss"": false, ""dims_mm"": [336.3, 289.9, 272.4], ""reason"": ""circle evidence: circ=0.81 sect=0.00 dome=0.46 flank=102.0mm elong=1.2 h/w=0.94"", ""latency_ms"": 516.7, ""mode"": ""rtx_depth_3head""}"
28.6833,routing_cmd,helmet,"{""zone"": ""D""}"
28.6833,gate_commanded,,"{""gate"": ""D"", ""target"": ""open""}"
28.7167,gate_opening,,"{""gate"": ""D"", ""frac"": 0.111}"
28.9333,table_entry,helmet,"{""command_margin_s"": 0.533}"
28.9667,gate_open,,"{""gate"": ""D"", ""frac"": 0.927}"
29.3167,item_spawned,lunchbox,"{""zone_true"": ""B""}"
31.5,exit_verified,helmet,"{""gate"": ""D"", ""gate_state"": ""open""}"
31.5,gate_commanded,,"{""gate"": ""D"", ""target"": ""closed""}"
31.5333,gate_closing,,"{""gate"": ""D"", ""frac"": 0.862}"
31.65,item_delivered,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.043, 1.917, 0.546]}"
31.8167,gate_closed,,"{""gate"": ""D"", ""frac"": 0.044}"
34.8667,item_detected,lunchbox,
35.3833,item_classified,lunchbox,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 6, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [192.1, 138.7, 61.5], ""reason"": ""fits, no circle evidence: circ=0.67 sect=0.00 dome=0.15 flank=29.9mm elong=1.4 h/w=0.44"", ""latency_ms"": 516.7, ""mode"": ""rtx_depth_3head""}"
35.6667,routing_cmd,lunchbox,"{""zone"": ""B""}"
35.6667,gate_commanded,,"{""gate"": ""B"", ""target"": ""open""}"
35.7,gate_opening,,"{""gate"": ""B"", ""frac"": 0.112}"
35.9167,table_entry,lunchbox,"{""command_margin_s"": 0.533}"
35.95,gate_open,,"{""gate"": ""B"", ""frac"": 0.927}"
36.0667,item_spawned,detergent,"{""zone_true"": ""B""}"
38.5167,exit_verified,lunchbox,"{""gate"": ""B"", ""gate_state"": ""open""}"
38.5167,gate_commanded,,"{""gate"": ""B"", ""target"": ""closed""}"
38.55,gate_closing,,"{""gate"": ""B"", ""frac"": 0.862}"
38.8333,gate_closed,,"{""gate"": ""B"", ""frac"": 0.043}"
40.4833,item_delivered,lunchbox,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.365, 5.71, 0.731]}"
41.6167,item_detected,detergent,
42.1333,item_classified,detergent,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 6, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [246.6, 239.5, 176.6], ""reason"": ""fits, no circle evidence: circ=0.72 sect=0.00 dome=0.66 flank=93.5mm elong=1.0 h/w=0.71"", ""latency_ms"": 516.7, ""mode"": ""rtx_depth_3head""}"
42.4167,routing_cmd,detergent,"{""zone"": ""B""}"
42.4167,gate_commanded,,"{""gate"": ""B"", ""target"": ""open""}"
42.45,gate_opening,,"{""gate"": ""B"", ""frac"": 0.112}"
42.6667,table_entry,detergent,"{""command_margin_s"": 0.533}"
42.7,gate_open,,"{""gate"": ""B"", ""frac"": 0.927}"
43.9333,item_spawned,box_l,"{""zone_true"": ""C""}"
45.25,exit_verified,detergent,"{""gate"": ""B"", ""gate_state"": ""open""}"
45.25,gate_commanded,,"{""gate"": ""B"", ""target"": ""closed""}"
45.2833,gate_closing,,"{""gate"": ""B"", ""frac"": 0.862}"
45.5667,gate_closed,,"{""gate"": ""B"", ""frac"": 0.043}"
47.2,item_delivered,detergent,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.334, 5.706, 0.767]}"
49.4833,item_detected,box_l,
50.0,item_classified,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 6, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [390.0, 388.5, 300.9], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 516.7, ""mode"": ""rtx_depth_3head""}"
50.2833,routing_cmd,box_l,"{""zone"": ""C""}"
50.2833,gate_commanded,,"{""gate"": ""C"", ""target"": ""open""}"
50.2833,gate_opening,,"{""gate"": ""C"", ""frac"": 0.076}"
50.55,table_entry,box_l,"{""command_margin_s"": 0.55}"
50.55,gate_open,,"{""gate"": ""C"", ""frac"": 0.922}"
51.2333,item_spawned,sack,"{""zone_true"": ""D""}"
52.9333,exit_verified,box_l,"{""gate"": ""C"", ""gate_state"": ""open""}"
52.9333,gate_commanded,,"{""gate"": ""C"", ""target"": ""closed""}"
52.9667,gate_closing,,"{""gate"": ""C"", ""frac"": 0.862}"
56.8833,item_detected,sack,
58.8833,item_spawned,cylinder,"{""zone_true"": ""D""}"
65.7833,item_spawned,box_s,"{""zone_true"": ""B""}"
70.3,jam_detected,box_l,"{""zone"": ""C"", ""pos"": [8.969, 2.992, 0.615]}"
70.3,jam_locate_rejected,box_l,"{""cam_pos"": [6.299, 3.016, 0.812], ""track_pos"": [8.969, 2.992, 0.615], ""err_mm"": 2669.9}"
70.3,jam_located_state_observer,box_l,"{""track_pos"": [8.969, 2.992, 0.615], ""half_extents"": [0.201, 0.2, 0.15]}"
70.3,recovery_started,box_l,"{""zone"": ""C""}"
71.4,attached,box_l,
72.0333,gate_commanded,,"{""gate"": ""C"", ""target"": ""open""}"
72.0333,gate_opening,,"{""gate"": ""C"", ""frac"": 0.076}"
72.1667,gate_open,,"{""gate"": ""C"", ""frac"": 1.0}"
72.25,item_spawned,plate,"{""zone_true"": ""D""}"
72.5667,released,box_l,"{""zone"": ""C"", ""cycle_s"": 2.267}"
