t,event,slug,data
1.0167,item_spawned,box_l,"{""zone_true"": ""C""}"
6.5667,item_detected,box_l,
7.0833,item_classified,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 6, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [390.0, 388.3, 300.9], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 516.7, ""mode"": ""rtx_depth_3head""}"
7.3667,routing_cmd,box_l,"{""zone"": ""C""}"
7.3667,gate_commanded,,"{""gate"": ""C"", ""target"": ""open""}"
7.6167,table_entry,box_l,"{""command_margin_s"": 0.533}"
7.8167,gate_opening,,"{""gate"": ""C"", ""frac"": 0.113}"
7.9,item_spawned,box_s,"{""zone_true"": ""B""}"
8.0667,gate_open,,"{""gate"": ""C"", ""frac"": 0.927}"
10.0,exit_verified,box_l,"{""gate"": ""C"", ""gate_state"": ""open""}"
10.0,gate_commanded,,"{""gate"": ""C"", ""target"": ""closed""}"
10.1167,item_delivered,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [9.083, 3.002, 0.542]}"
10.45,gate_closing,,"{""gate"": ""C"", ""frac"": 0.862}"
10.7333,gate_closed,,"{""gate"": ""C"", ""frac"": 0.045}"
13.45,item_detected,box_s,
13.9667,item_classified,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 6, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [291.2, 200.0, 195.2], ""reason"": ""fits, no circle evidence: circ=0.61 sect=0.00 dome=0.00 flank=47.9mm elong=1.5 h/w=1.02"", ""latency_ms"": 516.7, ""mode"": ""rtx_depth_3head""}"
14.25,routing_cmd,box_s,"{""zone"": ""B""}"
14.25,gate_commanded,,"{""gate"": ""B"", ""target"": ""open""}"
14.2833,gate_opening,,"{""gate"": ""B"", ""frac"": 0.112}"
14.5,table_entry,box_s,"{""command_margin_s"": 0.533}"
14.5333,gate_open,,"{""gate"": ""B"", ""frac"": 0.927}"
15.6333,item_spawned,bottle,"{""zone_true"": ""D""}"
17.2,exit_verified,box_s,"{""gate"": ""B"", ""gate_state"": ""open""}"
17.2,gate_commanded,,"{""gate"": ""B"", ""target"": ""closed""}"
17.2333,gate_closing,,"{""gate"": ""B"", ""frac"": 0.862}"
17.5167,gate_closed,,"{""gate"": ""B"", ""frac"": 0.043}"
19.1667,item_delivered,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.334, 5.708, 0.8]}"
21.2,item_detected,bottle,
21.7167,item_classified,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 6, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [285.8, 100.1, 86.3], ""reason"": ""circle evidence: circ=0.37 sect=0.87 dome=0.71 flank=18.6mm elong=3.3 h/w=1.16"", ""latency_ms"": 516.7, ""mode"": ""rtx_depth_3head""}"
22.0,routing_cmd,bottle,"{""zone"": ""D""}"
22.0,gate_commanded,,"{""gate"": ""D"", ""target"": ""open""}"
22.0333,gate_opening,,"{""gate"": ""D"", ""frac"": 0.11}"
22.2667,table_entry,bottle,"{""command_margin_s"": 0.55}"
22.2833,gate_open,,"{""gate"": ""D"", ""frac"": 0.927}"
24.8,exit_verified,bottle,"{""gate"": ""D"", ""gate_state"": ""open""}"
24.8,gate_commanded,,"{""gate"": ""D"", ""target"": ""closed""}"
24.8333,gate_closing,,"{""gate"": ""D"", ""frac"": 0.862}"
24.9167,item_delivered,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.051, 1.958, 0.433]}"
