t,event,slug,data
1.0167,item_spawned,box_l,"{""zone_true"": ""C""}"
6.5667,item_detected,box_l,
7.0833,item_classified,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 6, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [390.0, 388.3, 300.9], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 516.7, ""mode"": ""rtx_depth_3head""}"
7.3667,routing_cmd,box_l,"{""zone"": ""C""}"
7.3667,gate_commanded,,"{""gate"": ""C"", ""target"": ""open""}"
7.6167,table_entry,box_l,"{""command_margin_s"": 0.533}"
7.9,item_spawned,box_s,"{""zone_true"": ""B""}"
9.3833,gate_timeout,,"{""gate"": ""C"", ""commanded_s"": 2.02}"
13.45,item_detected,box_s,
15.6333,item_spawned,bottle,"{""zone_true"": ""D""}"
27.4,jam_detected,box_l,"{""zone"": ""C"", ""pos"": [8.316, 2.991, 0.85]}"
27.4,jam_located,box_l,"{""cam_pos"": [8.283, 2.984, 1.005], ""half_extents"": [0.365, 0.3, 0.295], ""n_points"": 11722, ""true_pos"": [8.316, 2.991, 0.85], ""err_mm"": 33.8}"
27.4,recovery_started,box_l,"{""zone"": ""C""}"
28.6333,attached,box_l,
28.95,released,box_l,"{""zone"": ""C"", ""cycle_s"": 1.55}"
29.9333,job_done,box_l,
29.9333,recovery_done,box_l,"{""attempts"": 1}"
39.9333,jam_detected,box_l,"{""zone"": ""C"", ""pos"": [8.315, 3.014, 0.85]}"
39.9333,jam_located,box_l,"{""cam_pos"": [8.282, 3.003, 1.005], ""half_extents"": [0.365, 0.3, 0.292], ""n_points"": 11803, ""true_pos"": [8.315, 3.014, 0.85], ""err_mm"": 35.1}"
39.9333,recovery_started,box_l,"{""zone"": ""C""}"
41.1667,attached,box_l,
41.4833,released,box_l,"{""zone"": ""C"", ""cycle_s"": 1.55}"
42.4667,job_done,box_l,
42.4667,recovery_done,box_l,"{""attempts"": 2}"
52.4667,jam_detected,box_l,"{""zone"": ""C"", ""pos"": [8.315, 3.086, 0.85]}"
52.4667,jam_located,box_l,"{""cam_pos"": [8.282, 3.066, 1.006], ""half_extents"": [0.366, 0.3, 0.292], ""n_points"": 12066, ""true_pos"": [8.315, 3.086, 0.85], ""err_mm"": 38.9}"
52.4667,item_delivered,box_l,"{""zone"": ""MANUAL"", ""zone_true"": ""C"", ""ok"": false, ""pos"": [8.315, 3.086, 0.85]}"
52.4667,operator_removed,box_l,"{""station"": [10.4, 0.6]}"
52.4667,gate_commanded,,"{""gate"": ""C"", ""target"": ""closed""}"
52.8,item_classified,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 6, ""confidence"": 0.833, ""sensor_miss"": false, ""dims_mm"": [292.4, 200.0, 195.2], ""reason"": ""fits, no circle evidence: circ=0.61 sect=0.00 dome=0.00 flank=47.9mm elong=1.5 h/w=1.02"", ""latency_ms"": 39350.0, ""mode"": ""rtx_depth_3head""}"
53.0833,routing_cmd,box_s,"{""zone"": ""B""}"
53.0833,gate_commanded,,"{""gate"": ""B"", ""target"": ""open""}"
53.1167,gate_opening,,"{""gate"": ""B"", ""frac"": 0.112}"
53.35,table_entry,box_s,"{""command_margin_s"": 0.55}"
53.3667,gate_open,,"{""gate"": ""B"", ""frac"": 0.927}"
53.4167,item_detected,bottle,
56.0,item_classified,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 5, ""confidence"": 0.8, ""sensor_miss"": false, ""dims_mm"": [286.6, 98.5, 85.2], ""reason"": ""circle evidence: circ=0.38 sect=0.86 dome=0.70 flank=11.3mm elong=3.4 h/w=1.16"", ""latency_ms"": 2583.3, ""mode"": ""rtx_depth_3head""}"
56.0667,exit_verified,box_s,"{""gate"": ""B"", ""gate_state"": ""open""}"
56.0667,gate_commanded,,"{""gate"": ""B"", ""target"": ""closed""}"
56.1,gate_closing,,"{""gate"": ""B"", ""frac"": 0.862}"
56.3667,routing_cmd,bottle,"{""zone"": ""D""}"
56.3667,gate_commanded,,"{""gate"": ""D"", ""target"": ""open""}"
56.3833,gate_closed,,"{""gate"": ""B"", ""frac"": 0.043}"
56.4,gate_opening,,"{""gate"": ""D"", ""frac"": 0.11}"
56.6167,table_entry,bottle,"{""command_margin_s"": 0.617}"
56.65,gate_open,,"{""gate"": ""D"", ""frac"": 0.927}"
58.0167,item_delivered,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.338, 5.701, 0.8]}"
59.25,exit_verified,bottle,"{""gate"": ""D"", ""gate_state"": ""open""}"
59.25,gate_commanded,,"{""gate"": ""D"", ""target"": ""closed""}"
59.2833,gate_closing,,"{""gate"": ""D"", ""frac"": 0.862}"
59.35,item_delivered,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.058, 1.973, 0.44]}"
