t,event,slug,data
1.0167,item_spawned,bl_rod_b,"{""zone_true"": ""B""}"
6.3333,item_detected,bl_rod_b,
6.8167,item_classified,bl_rod_b,"{""zone"": ""D"", ""zone_true"": ""B"", ""correct"": false, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [219.0, 16.4, 12.0], ""reason"": ""ambiguous prism section on elongated item (safe side): circ=0.08 sect=0.45 dome=0.02 flank=n/a elong=13.5 h/w=0.75"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
6.8167,escapement_release,bl_rod_b,"{""carrier"": 3, ""zone"": ""D"", ""t_land_est"": 7.705, ""len_m"": 0.219, ""bias"": 0.0}"
7.6167,induction_landed,bl_rod_b,"{""carrier"": 3, ""offset_m"": -0.0322}"
7.6167,routing_cmd,bl_rod_b,"{""zone"": ""D"", ""carrier"": 3}"
8.6667,item_spawned,cylinder,"{""zone_true"": ""D""}"
10.5167,tilt_cmd,bl_rod_b,"{""carrier"": 3, ""station"": ""D"", ""target_deg"": 38.04}"
10.9667,tilt_full,bl_rod_b,"{""carrier"": 3, ""tilt_ms"": 450.0}"
11.4167,item_delivered,bl_rod_b,"{""zone"": ""D"", ""zone_true"": ""B"", ""ok"": false, ""pos"": [8.76, 2.471, 0.231]}"
14.0167,item_detected,cylinder,
14.5,item_classified,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 3, ""confidence"": 0.333, ""sensor_miss"": false, ""dims_mm"": [407.9, 43.0, 37.2], ""reason"": ""ambiguous prism section on elongated item (safe side): circ=0.10 sect=0.50 dome=0.07 flank=6.5mm elong=10.9 h/w=1.16"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
15.2333,escapement_release,cylinder,"{""carrier"": 5, ""zone"": ""D"", ""t_land_est"": 16.105, ""len_m"": 0.408, ""bias"": -0.05}"
15.5667,item_spawned,bl_rsq_b,"{""zone_true"": ""B""}"
16.0,induction_landed,cylinder,"{""carrier"": 5, ""offset_m"": -0.0274}"
16.0,routing_cmd,cylinder,"{""zone"": ""D"", ""carrier"": 5}"
18.7167,tilt_cmd,cylinder,"{""carrier"": 5, ""station"": ""D"", ""target_deg"": 38.23}"
19.1667,tilt_full,cylinder,"{""carrier"": 5, ""tilt_ms"": 450.0}"
19.5667,discharge_confirmed,cylinder,"{""carrier"": 5, ""station"": ""D"", ""latency_ms"": 683.3}"
19.6,item_delivered,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.718, 2.481, 0.267]}"
20.8833,item_detected,bl_rsq_b,
21.3667,item_classified,bl_rsq_b,"{""zone"": ""D"", ""zone_true"": ""B"", ""correct"": false, ""n_reads"": 3, ""confidence"": 0.667, ""sensor_miss"": false, ""dims_mm"": [217.6, 100.1, 98.4], ""reason"": ""ambiguous prism section on elongated item (safe side): circ=0.45 sect=0.71 dome=0.01 flank=23.3mm elong=2.2 h/w=1.02"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
22.0333,item_spawned,pen,"{""zone_true"": ""C""}"
22.45,escapement_release,bl_rsq_b,"{""carrier"": 8, ""zone"": ""D"", ""t_land_est"": 23.305, ""len_m"": 0.218, ""bias"": 0.0}"
23.2,induction_landed,bl_rsq_b,"{""carrier"": 8, ""offset_m"": -0.0246}"
23.2,routing_cmd,bl_rsq_b,"{""zone"": ""D"", ""carrier"": 8}"
26.1167,tilt_cmd,bl_rsq_b,"{""carrier"": 8, ""station"": ""D"", ""target_deg"": 37.94}"
26.5667,tilt_full,bl_rsq_b,"{""carrier"": 8, ""tilt_ms"": 450.0}"
