t,event,slug,data
1.0167,item_spawned,pen,"{""zone_true"": ""C""}"
6.3667,item_detected,pen,
6.85,item_classified,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [146.3, 13.5, 8.7], ""reason"": ""undersize: dim 8.7 mm below certification floor 10.8 mm [macro head: 4 reads, floor 10.8 mm]"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
6.85,escapement_release,pen,"{""carrier"": 3, ""zone"": ""C"", ""t_land_est"": 7.705, ""len_m"": 0.146, ""bias"": 0.0}"
7.6333,induction_landed,pen,"{""carrier"": 3, ""offset_m"": -0.0539}"
7.6333,routing_cmd,pen,"{""zone"": ""C"", ""carrier"": 3}"
7.8,tilt_cmd,pen,"{""carrier"": 3, ""station"": ""C"", ""target_deg"": 28.69}"
7.85,item_spawned,helmet,"{""zone_true"": ""D""}"
8.3333,tilt_full,pen,"{""carrier"": 3, ""tilt_ms"": 533.3}"
8.9667,item_delivered,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.793, 2.485, 0.237]}"
13.2333,item_detected,helmet,
13.7167,item_classified,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 0.5, ""sensor_miss"": false, ""dims_mm"": [349.4, 294.1, 271.2], ""reason"": ""circle evidence: circ=0.74 sect=0.00 dome=0.73 flank=91.2mm elong=1.3 h/w=1.09"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
14.0333,escapement_release,helmet,"{""carrier"": 6, ""zone"": ""D"", ""t_land_est"": 14.905, ""len_m"": 0.349, ""bias"": -0.05}"
14.9167,induction_landed,helmet,"{""carrier"": 6, ""offset_m"": -0.0837}"
14.9167,routing_cmd,helmet,"{""zone"": ""D"", ""carrier"": 6}"
14.95,item_spawned,detergent,"{""zone_true"": ""B""}"
17.6167,tilt_cmd,helmet,"{""carrier"": 6, ""station"": ""D"", ""target_deg"": 38.33}"
18.0667,tilt_full,helmet,"{""carrier"": 6, ""tilt_ms"": 450.0}"
18.35,item_delivered,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.718, 2.486, 0.401]}"
20.3,item_detected,detergent,
20.7833,item_classified,detergent,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [282.1, 275.3, 176.6], ""reason"": ""fits, no circle evidence: circ=0.75 sect=0.00 dome=0.67 flank=61.7mm elong=1.0 h/w=0.64"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
21.0167,item_spawned,sack,"{""zone_true"": ""D""}"
21.1667,escapement_release,detergent,"{""carrier"": 0, ""zone"": ""B"", ""t_land_est"": 22.105, ""len_m"": 0.282, ""bias"": 0.0}"
22.0167,induction_landed,detergent,"{""carrier"": 0, ""offset_m"": -0.0332}"
22.0167,routing_cmd,detergent,"{""zone"": ""B"", ""carrier"": 0}"
24.2167,tilt_cmd,detergent,"{""carrier"": 0, ""station"": ""B"", ""target_deg"": -38.49}"
24.6667,tilt_full,detergent,"{""carrier"": 0, ""tilt_ms"": 450.0}"
25.1667,discharge_confirmed,detergent,"{""carrier"": 0, ""station"": ""B"", ""latency_ms"": 783.3}"
26.4167,item_detected,sack,
26.9,item_classified,sack,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [190.6, 168.8, 163.7], ""reason"": ""circle evidence: circ=0.88 sect=0.00 dome=0.89 flank=63.7mm elong=1.0 h/w=1.16"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
27.2167,escapement_release,sack,"{""carrier"": 4, ""zone"": ""D"", ""t_land_est"": 28.105, ""len_m"": 0.191, ""bias"": 0.0}"
27.6,item_delivered,detergent,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.435, 5.714, 0.767]}"
27.9667,induction_landed,sack,"{""carrier"": 4, ""offset_m"": -0.0203}"
27.9667,routing_cmd,sack,"{""zone"": ""D"", ""carrier"": 4}"
28.5333,item_spawned,bottle,"{""zone_true"": ""D""}"
30.4667,tilt_cmd,sack,"{""carrier"": 4, ""station"": ""D"", ""target_deg"": 28.59}"
30.8667,tilt_full,sack,"{""carrier"": 4, ""tilt_ms"": 400.0}"
31.4,item_delivered,sack,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.672, 2.493, 0.35]}"
33.9333,item_detected,bottle,
34.4167,item_classified,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 0.75, ""sensor_miss"": false, ""dims_mm"": [287.1, 99.7, 82.7], ""reason"": ""circle evidence: circ=0.37 sect=0.80 dome=0.70 flank=11.2mm elong=3.5 h/w=1.21"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
34.4167,escapement_release,bottle,"{""carrier"": 7, ""zone"": ""D"", ""t_land_est"": 35.305, ""len_m"": 0.287, ""bias"": 0.0}"
35.2333,induction_landed,bottle,"{""carrier"": 7, ""offset_m"": -0.0413}"
35.2333,routing_cmd,bottle,"{""zone"": ""D"", ""carrier"": 7}"
35.6167,item_spawned,box_s,"{""zone_true"": ""B""}"
38.1167,tilt_cmd,bottle,"{""carrier"": 7, ""station"": ""D"", ""target_deg"": 38.37}"
38.5667,tilt_full,bottle,"{""carrier"": 7, ""tilt_ms"": 450.0}"
38.9667,discharge_confirmed,bottle,"{""carrier"": 7, ""station"": ""D"", ""latency_ms"": 700.0}"
38.9833,item_delivered,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.914, 2.468, 0.262]}"
40.9667,item_detected,box_s,
41.45,item_classified,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [298.5, 200.0, 199.6], ""reason"": ""fits, no circle evidence: circ=0.61 sect=0.00 dome=0.01 flank=35.4mm elong=1.5 h/w=1.00"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
41.6167,escapement_release,box_s,"{""carrier"": 1, ""zone"": ""B"", ""t_land_est"": 42.505, ""len_m"": 0.298, ""bias"": 0.0}"
42.2833,item_spawned,plate,"{""zone_true"": ""D""}"
42.4667,induction_landed,box_s,"{""carrier"": 1, ""offset_m"": -0.0665}"
42.4667,routing_cmd,box_s,"{""zone"": ""B"", ""carrier"": 1}"
44.6167,tilt_cmd,box_s,"{""carrier"": 1, ""station"": ""B"", ""target_deg"": -38.03}"
45.0667,tilt_full,box_s,"{""carrier"": 1, ""tilt_ms"": 450.0}"
45.5667,discharge_confirmed,box_s,"{""carrier"": 1, ""station"": ""B"", ""latency_ms"": 800.0}"
47.6333,item_detected,plate,
48.0,item_delivered,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.428, 5.7, 0.8]}"
48.1167,item_classified,plate,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [200.9, 200.0, 26.6], ""reason"": ""circle evidence: circ=0.95 sect=0.00 dome=0.50 flank=26.7mm elong=1.0 h/w=0.13"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
48.8,escapement_release,plate,"{""carrier"": 4, ""zone"": ""D"", ""t_land_est"": 49.705, ""len_m"": 0.201, ""bias"": 0.0}"
49.65,induction_landed,plate,"{""carrier"": 4, ""offset_m"": -0.0528}"
49.65,routing_cmd,plate,"{""zone"": ""D"", ""carrier"": 4}"
49.8667,item_spawned,box_l,"{""zone_true"": ""C""}"
52.5167,tilt_cmd,plate,"{""carrier"": 4, ""station"": ""D"", ""target_deg"": 37.93}"
52.9667,tilt_full,plate,"{""carrier"": 4, ""tilt_ms"": 450.0}"
53.4,item_delivered,plate,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.826, 2.484, 0.247]}"
55.2167,item_detected,box_l,
55.7,item_classified,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [414.1, 409.6, 300.7], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
56.0,escapement_release,box_l,"{""carrier"": 7, ""zone"": ""C"", ""t_land_est"": 56.905, ""len_m"": 0.414, ""bias"": -0.05}"
56.4833,item_spawned,cylinder,"{""zone_true"": ""D""}"
57.0833,induction_landed,box_l,"{""carrier"": 7, ""offset_m"": -0.0179}"
57.0833,routing_cmd,box_l,"{""zone"": ""C"", ""carrier"": 7}"
57.2333,tilt_cmd,box_l,"{""carrier"": 7, ""station"": ""C"", ""target_deg"": 37.53}"
57.6833,tilt_full,box_l,"{""carrier"": 7, ""tilt_ms"": 450.0}"
57.9833,item_delivered,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.597, 2.48, 0.442]}"
61.8333,item_detected,cylinder,
62.3167,item_classified,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [408.9, 43.0, 36.9], ""reason"": ""ambiguous prism section on elongated item (safe side): circ=0.09 sect=0.54 dome=0.06 flank=4.0mm elong=11.1 h/w=1.17"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
63.2333,escapement_release,cylinder,"{""carrier"": 1, ""zone"": ""D"", ""t_land_est"": 64.105, ""len_m"": 0.409, ""bias"": -0.05}"
63.4,item_spawned,pouf,"{""zone_true"": ""C""}"
64.0,induction_landed,cylinder,"{""carrier"": 1, ""offset_m"": -0.0274}"
64.0,routing_cmd,cylinder,"{""zone"": ""D"", ""carrier"": 1}"
66.7167,tilt_cmd,cylinder,"{""carrier"": 1, ""station"": ""D"", ""target_deg"": 37.21}"
