t,event,slug,data
1.0167,item_spawned,pouf,"{""zone_true"": ""C""}"
4.7833,item_spawned,pen,"{""zone_true"": ""C""}"
6.35,item_detected,pouf,
6.8333,item_classified,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [445.5, 412.5, 264.0], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
6.8333,escapement_release,pouf,"{""carrier"": 3, ""zone"": ""C"", ""t_land_est"": 7.705, ""len_m"": 0.446, ""bias"": -0.05}"
7.8333,induction_landed,pouf,"{""carrier"": 3, ""offset_m"": -0.0763}"
7.8333,routing_cmd,pouf,"{""zone"": ""C"", ""carrier"": 3}"
8.0,tilt_cmd,pouf,"{""carrier"": 3, ""station"": ""C"", ""target_deg"": 38.04}"
8.45,tilt_full,pouf,"{""carrier"": 3, ""tilt_ms"": 450.0}"
8.5833,item_spawned,bottle,"{""zone_true"": ""D""}"
8.8,item_delivered,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.569, 2.475, 0.403]}"
10.1333,item_detected,pen,
10.6167,item_classified,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [146.3, 13.4, 8.7], ""reason"": ""undersize: dim 8.7 mm below certification floor 10.8 mm [macro head: 4 reads, floor 10.8 mm]"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
11.55,escapement_release,pen,"{""carrier"": 8, ""zone"": ""C"", ""t_land_est"": 12.505, ""len_m"": 0.146, ""bias"": 0.0}"
11.7167,item_spawned,helmet,"{""zone_true"": ""D""}"
12.3167,induction_landed,pen,"{""carrier"": 8, ""offset_m"": 0.0104}"
12.3167,routing_cmd,pen,"{""zone"": ""C"", ""carrier"": 8}"
12.4833,tilt_cmd,pen,"{""carrier"": 8, ""station"": ""C"", ""target_deg"": 32.5}"
13.1333,tilt_full,pen,"{""carrier"": 8, ""tilt_ms"": 650.0}"
13.6833,item_delivered,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.641, 2.471, 0.229]}"
13.95,item_detected,bottle,
14.4333,item_classified,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [294.8, 100.1, 86.6], ""reason"": ""circle evidence: circ=0.42 sect=0.87 dome=0.71 flank=21.3mm elong=3.4 h/w=1.16"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
15.1833,item_spawned,lunchbox,"{""zone_true"": ""B""}"
15.2667,escapement_release,bottle,"{""carrier"": 5, ""zone"": ""D"", ""t_land_est"": 16.105, ""len_m"": 0.295, ""bias"": 0.0}"
16.1333,induction_landed,bottle,"{""carrier"": 5, ""offset_m"": -0.1005}"
16.1333,routing_cmd,bottle,"{""zone"": ""D"", ""carrier"": 5}"
17.0,item_detected,helmet,
17.4833,item_classified,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 0.25, ""sensor_miss"": false, ""dims_mm"": [346.4, 273.6, 264.4], ""reason"": ""circle evidence: circ=0.68 sect=0.00 dome=0.55 flank=90.2mm elong=1.3 h/w=0.98"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
17.65,escapement_release,helmet,"{""carrier"": 3, ""zone"": ""D"", ""t_land_est"": 18.505, ""len_m"": 0.346, ""bias"": -0.05}"
18.5667,item_spawned,detergent,"{""zone_true"": ""B""}"
18.5667,induction_landed,helmet,"{""carrier"": 3, ""offset_m"": -0.1118}"
18.5667,routing_cmd,helmet,"{""zone"": ""D"", ""carrier"": 3}"
18.9167,tilt_cmd,bottle,"{""carrier"": 5, ""station"": ""D"", ""target_deg"": 37.94}"
19.3667,tilt_full,bottle,"{""carrier"": 5, ""tilt_ms"": 450.0}"
19.8,item_delivered,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.929, 2.486, 0.273]}"
20.5333,item_detected,lunchbox,
21.0167,item_classified,lunchbox,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [192.9, 139.2, 61.6], ""reason"": ""fits, no circle evidence: circ=0.68 sect=0.00 dome=0.16 flank=30.9mm elong=1.4 h/w=0.44"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
21.2167,escapement_release,lunchbox,"{""carrier"": 0, ""zone"": ""B"", ""t_land_est"": 22.105, ""len_m"": 0.193, ""bias"": 0.0}"
21.2333,tilt_cmd,helmet,"{""carrier"": 3, ""station"": ""D"", ""target_deg"": 38.38}"
21.6833,tilt_full,helmet,"{""carrier"": 3, ""tilt_ms"": 450.0}"
22.0,item_delivered,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.721, 2.481, 0.438]}"
22.0333,induction_landed,lunchbox,"{""carrier"": 0, ""offset_m"": -0.0459}"
22.0333,routing_cmd,lunchbox,"{""zone"": ""B"", ""carrier"": 0}"
22.5,item_spawned,box_l,"{""zone_true"": ""C""}"
23.7667,tilt_cmd,lunchbox,"{""carrier"": 0, ""station"": ""B"", ""target_deg"": -32.32}"
23.9167,item_detected,detergent,
24.1833,tilt_full,lunchbox,"{""carrier"": 0, ""tilt_ms"": 416.7}"
24.4,item_classified,detergent,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 4, ""confidence"": 0.75, ""sensor_miss"": false, ""dims_mm"": [288.9, 230.6, 170.6], ""reason"": ""fits, no circle evidence: circ=0.72 sect=0.00 dome=0.77 flank=82.3mm elong=1.2 h/w=0.73"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
24.7333,escapement_release,detergent,"{""carrier"": 6, ""zone"": ""B"", ""t_land_est"": 25.705, ""len_m"": 0.289, ""bias"": 0.0}"
24.7833,discharge_confirmed,lunchbox,"{""carrier"": 0, ""station"": ""B"", ""latency_ms"": 850.0}"
25.6167,induction_landed,detergent,"{""carrier"": 6, ""offset_m"": -0.0287}"
25.6167,routing_cmd,detergent,"{""zone"": ""B"", ""carrier"": 6}"
26.15,item_spawned,sack,"{""zone_true"": ""D""}"
27.15,item_delivered,lunchbox,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.254, 5.704, 0.731]}"
27.8167,tilt_cmd,detergent,"{""carrier"": 6, ""station"": ""B"", ""target_deg"": -38.4}"
27.85,item_detected,box_l,
28.2667,tilt_full,detergent,"{""carrier"": 6, ""tilt_ms"": 450.0}"
28.3333,item_classified,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [392.0, 390.9, 300.7], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
28.4,escapement_release,box_l,"{""carrier"": 3, ""zone"": ""C"", ""t_land_est"": 29.305, ""len_m"": 0.392, ""bias"": -0.05}"
28.6833,discharge_confirmed,detergent,"{""carrier"": 6, ""station"": ""B"", ""latency_ms"": 700.0}"
29.55,induction_landed,box_l,"{""carrier"": 3, ""offset_m"": -0.0436}"
29.55,routing_cmd,box_l,"{""zone"": ""C"", ""carrier"": 3}"
29.7167,tilt_cmd,box_l,"{""carrier"": 3, ""station"": ""C"", ""target_deg"": 37.84}"
29.9833,item_spawned,cylinder,"{""zone_true"": ""D""}"
30.1667,tilt_full,box_l,"{""carrier"": 3, ""tilt_ms"": 450.0}"
30.5167,discharge_confirmed,box_l,"{""carrier"": 3, ""station"": ""C"", ""latency_ms"": 633.3}"
30.6167,item_delivered,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.582, 2.49, 0.462]}"
31.15,item_delivered,detergent,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.403, 5.717, 0.767]}"
31.6,item_detected,sack,
32.0833,item_classified,sack,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 5, ""confidence"": 0.4, ""sensor_miss"": false, ""dims_mm"": [189.2, 172.4, 153.6], ""reason"": ""circle evidence: circ=0.78 sect=0.00 dome=0.55 flank=51.9mm elong=1.2 h/w=1.12"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
32.0833,escapement_release,sack,"{""carrier"": 0, ""zone"": ""D"", ""t_land_est"": 32.905, ""len_m"": 0.189, ""bias"": 0.0}"
32.8667,induction_landed,sack,"{""carrier"": 0, ""offset_m"": -0.0616}"
32.8667,routing_cmd,sack,"{""zone"": ""D"", ""carrier"": 0}"
33.4333,item_spawned,box_s,"{""zone_true"": ""B""}"
35.2667,tilt_cmd,sack,"{""carrier"": 0, ""station"": ""D"", ""target_deg"": 32.66}"
35.3333,item_detected,cylinder,
35.6833,tilt_full,sack,"{""carrier"": 0, ""tilt_ms"": 416.7}"
35.8167,item_classified,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [408.2, 43.0, 36.9], ""reason"": ""ambiguous prism section on elongated item (safe side): circ=0.09 sect=0.60 dome=0.11 flank=6.6mm elong=11.1 h/w=1.17"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
36.0667,escapement_hold,cylinder,"{""zone"": ""D""}"
36.15,discharge_confirmed,sack,"{""carrier"": 0, ""station"": ""D"", ""latency_ms"": 733.3}"
36.1667,item_delivered,sack,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.642, 2.484, 0.346]}"
36.1833,escapement_hold_released,cylinder,"{""zone"": ""D""}"
36.6667,item_spawned,plate,"{""zone_true"": ""D""}"
36.8333,escapement_release,cylinder,"{""carrier"": 5, ""zone"": ""D"", ""t_land_est"": 37.705, ""len_m"": 0.408, ""bias"": -0.05}"
37.6,induction_landed,cylinder,"{""carrier"": 5, ""offset_m"": -0.0274}"
37.6,routing_cmd,cylinder,"{""zone"": ""D"", ""carrier"": 5}"
38.7833,item_detected,box_s,
39.2667,item_classified,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [274.5, 200.2, 199.8], ""reason"": ""fits, no circle evidence: circ=0.68 sect=0.00 dome=0.00 flank=50.3mm elong=1.4 h/w=1.00"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
39.2667,escapement_release,box_s,"{""carrier"": 3, ""zone"": ""B"", ""t_land_est"": 40.105, ""len_m"": 0.275, ""bias"": 0.0}"
40.1667,induction_landed,box_s,"{""carrier"": 3, ""offset_m"": -0.1159}"
40.1667,routing_cmd,box_s,"{""zone"": ""B"", ""carrier"": 3}"
40.3167,tilt_cmd,cylinder,"{""carrier"": 5, ""station"": ""D"", ""target_deg"": 38.42}"
40.7667,tilt_full,cylinder,"{""carrier"": 5, ""tilt_ms"": 450.0}"
41.1333,discharge_confirmed,cylinder,"{""carrier"": 5, ""station"": ""D"", ""latency_ms"": 666.7}"
41.1833,item_delivered,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.71, 2.487, 0.267]}"
42.0167,item_detected,plate,
42.2167,tilt_cmd,box_s,"{""carrier"": 3, ""station"": ""B"", ""target_deg"": -37.57}"
42.5,item_classified,plate,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [200.6, 200.4, 26.6], ""reason"": ""circle evidence: circ=0.95 sect=0.00 dome=0.49 flank=25.5mm elong=1.0 h/w=0.13"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
42.6667,tilt_full,box_s,"{""carrier"": 3, ""tilt_ms"": 450.0}"
42.7833,escapement_release,plate,"{""carrier"": 0, ""zone"": ""D"", ""t_land_est"": 43.705, ""len_m"": 0.201, ""bias"": 0.0}"
43.0167,discharge_confirmed,box_s,"{""carrier"": 3, ""station"": ""B"", ""latency_ms"": 650.0}"
43.6333,induction_landed,plate,"{""carrier"": 0, ""offset_m"": -0.043}"
43.6333,routing_cmd,plate,"{""zone"": ""D"", ""carrier"": 0}"
45.5667,item_delivered,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.333, 5.713, 0.8]}"
46.5167,tilt_cmd,plate,"{""carrier"": 0, ""station"": ""D"", ""target_deg"": 37.79}"
46.9667,tilt_full,plate,"{""carrier"": 0, ""tilt_ms"": 450.0}"
47.4167,item_delivered,plate,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.845, 2.469, 0.238]}"
