t,event,slug,data
1.0167,item_spawned,edge_cube10,"{""zone_true"": ""C""}"
6.3333,item_detected,edge_cube10,
6.8167,item_classified,edge_cube10,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [13.5, 13.2, 10.0], ""reason"": ""undersize: dim 10.0 mm below certification floor 10.8 mm [macro head: 5 reads, floor 10.8 mm]"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
6.8167,escapement_release,edge_cube10,"{""carrier"": 3, ""zone"": ""C"", ""t_land_est"": 7.705, ""len_m"": 0.013, ""bias"": 0.0}"
7.6167,induction_landed,edge_cube10,"{""carrier"": 3, ""offset_m"": -0.032}"
7.6167,routing_cmd,edge_cube10,"{""zone"": ""C"", ""carrier"": 3}"
7.7833,tilt_cmd,edge_cube10,"{""carrier"": 3, ""station"": ""C"", ""target_deg"": 28.53}"
8.3333,tilt_full,edge_cube10,"{""carrier"": 3, ""tilt_ms"": 550.0}"
8.4167,item_spawned,edge_cube11,"{""zone_true"": ""B""}"
9.0,item_delivered,edge_cube10,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.714, 2.486, 0.242]}"
13.7333,item_detected,edge_cube11,
14.2167,item_classified,edge_cube11,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [15.1, 14.9, 11.0], ""reason"": ""fits, no circle evidence: circ=0.74 sect=0.00 dome=0.00 flank=n/a elong=1.0 h/w=0.74 [macro head: 5 reads, floor 10.8 mm]"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
14.6167,item_spawned,edge_card2,"{""zone_true"": ""C""}"
15.2833,escapement_release,edge_cube11,"{""carrier"": 5, ""zone"": ""B"", ""t_land_est"": 16.105, ""len_m"": 0.015, ""bias"": 0.0}"
16.0167,induction_landed,edge_cube11,"{""carrier"": 5, ""offset_m"": -0.0423}"
16.0167,routing_cmd,edge_cube11,"{""zone"": ""B"", ""carrier"": 5}"
17.7667,tilt_cmd,edge_cube11,"{""carrier"": 5, ""station"": ""B"", ""target_deg"": -28.67}"
18.1667,tilt_full,edge_cube11,"{""carrier"": 5, ""tilt_ms"": 400.0}"
18.8667,discharge_confirmed,edge_cube11,"{""carrier"": 5, ""station"": ""B"", ""latency_ms"": 933.3}"
19.9333,item_detected,edge_card2,
20.4167,item_classified,edge_card2,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [149.5, 99.8, 2.0], ""reason"": ""undersize: dim 2.0 mm below certification floor 10.8 mm [macro head: 5 reads, floor 10.8 mm]"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
