t,event,slug,data
1.0167,item_spawned,box_l,"{""zone_true"": ""C""}"
6.3667,item_detected,box_l,
6.85,item_classified,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [392.4, 392.0, 300.7], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
6.85,escapement_release,box_l,"{""carrier"": 3, ""zone"": ""C"", ""t_land_est"": 7.705, ""len_m"": 0.392, ""bias"": -0.05}"
7.1333,item_spawned,bottle,"{""zone_true"": ""D""}"
7.95,induction_landed,box_l,"{""carrier"": 3, ""offset_m"": -0.0359}"
7.95,routing_cmd,box_l,"{""zone"": ""C"", ""carrier"": 3}"
8.1167,tilt_cmd,box_l,"{""carrier"": 3, ""station"": ""C"", ""target_deg"": 37.93}"
8.5667,tilt_full,box_l,"{""carrier"": 3, ""tilt_ms"": 450.0}"
8.8667,item_delivered,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.595, 2.472, 0.441]}"
12.5833,item_detected,bottle,
13.0667,item_classified,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [295.1, 98.7, 86.2], ""reason"": ""ambiguous prism section on elongated item (safe side): circ=0.39 sect=0.76 dome=0.71 flank=24.0mm elong=3.4 h/w=1.14"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
13.6833,item_spawned,cylinder,"{""zone_true"": ""D""}"
14.0667,escapement_release,bottle,"{""carrier"": 6, ""zone"": ""D"", ""t_land_est"": 14.905, ""len_m"": 0.295, ""bias"": 0.0}"
14.85,induction_landed,bottle,"{""carrier"": 6, ""offset_m"": -0.0566}"
14.85,routing_cmd,bottle,"{""zone"": ""D"", ""carrier"": 6}"
17.7167,tilt_cmd,bottle,"{""carrier"": 6, ""station"": ""D"", ""target_deg"": 38.35}"
18.1667,tilt_full,bottle,"{""carrier"": 6, ""tilt_ms"": 450.0}"
18.5167,discharge_confirmed,bottle,"{""carrier"": 6, ""station"": ""D"", ""latency_ms"": 633.3}"
18.5667,item_delivered,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.809, 2.476, 0.267]}"
19.0333,item_detected,cylinder,
19.5167,item_classified,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [408.2, 43.0, 37.4], ""reason"": ""ambiguous prism section on elongated item (safe side): circ=0.12 sect=0.52 dome=0.14 flank=6.4mm elong=10.9 h/w=1.15"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
20.0333,escapement_release,cylinder,"{""carrier"": 1, ""zone"": ""D"", ""t_land_est"": 20.905, ""len_m"": 0.408, ""bias"": -0.05}"
20.8,induction_landed,cylinder,"{""carrier"": 1, ""offset_m"": -0.0317}"
20.8,routing_cmd,cylinder,"{""zone"": ""D"", ""carrier"": 1}"
21.0,item_spawned,pen,"{""zone_true"": ""C""}"
23.5167,tilt_cmd,cylinder,"{""carrier"": 1, ""station"": ""D"", ""target_deg"": 37.76}"
23.9667,tilt_full,cylinder,"{""carrier"": 1, ""tilt_ms"": 450.0}"
24.35,discharge_confirmed,cylinder,"{""carrier"": 1, ""station"": ""D"", ""latency_ms"": 666.7}"
24.4,item_delivered,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.725, 2.477, 0.263]}"
26.35,item_detected,pen,
26.8333,item_classified,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [146.3, 13.4, 8.7], ""reason"": ""undersize: dim 8.7 mm below certification floor 10.8 mm [macro head: 4 reads, floor 10.8 mm]"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
27.1667,escapement_release,pen,"{""carrier"": 4, ""zone"": ""C"", ""t_land_est"": 28.105, ""len_m"": 0.146, ""bias"": 0.0}"
27.9333,induction_landed,pen,"{""carrier"": 4, ""offset_m"": 0.002}"
27.9333,routing_cmd,pen,"{""zone"": ""C"", ""carrier"": 4}"
28.1,tilt_cmd,pen,"{""carrier"": 4, ""station"": ""C"", ""target_deg"": 32.58}"
28.1333,item_spawned,helmet,"{""zone_true"": ""D""}"
28.7333,tilt_full,pen,"{""carrier"": 4, ""tilt_ms"": 633.3}"
29.2667,item_delivered,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.77, 2.493, 0.243]}"
33.5,item_detected,helmet,
33.9833,item_classified,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 0.0, ""sensor_miss"": false, ""dims_mm"": [339.1, 282.2, 254.1], ""reason"": ""circle evidence: circ=0.69 sect=0.00 dome=0.45 flank=84.3mm elong=1.4 h/w=1.11"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
34.3833,escapement_release,helmet,"{""carrier"": 7, ""zone"": ""D"", ""t_land_est"": 35.305, ""len_m"": 0.339, ""bias"": 0.0}"
34.45,item_spawned,detergent,"{""zone_true"": ""B""}"
35.4667,induction_landed,helmet,"{""carrier"": 7, ""offset_m"": -0.1697}"
35.4667,routing_cmd,helmet,"{""zone"": ""D"", ""carrier"": 7}"
38.05,tilt_cmd,helmet,"{""carrier"": 7, ""station"": ""D"", ""target_deg"": 37.66}"
38.5,tilt_full,helmet,"{""carrier"": 7, ""tilt_ms"": 450.0}"
38.8,item_delivered,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.731, 2.474, 0.404]}"
39.8,item_detected,detergent,
40.2833,item_classified,detergent,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 4, ""confidence"": 0.75, ""sensor_miss"": false, ""dims_mm"": [281.4, 231.1, 167.9], ""reason"": ""fits, no circle evidence: circ=0.72 sect=0.00 dome=0.74 flank=81.7mm elong=1.2 h/w=0.72"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
40.3833,escapement_release,detergent,"{""carrier"": 2, ""zone"": ""B"", ""t_land_est"": 41.305, ""len_m"": 0.281, ""bias"": 0.0}"
41.3,induction_landed,detergent,"{""carrier"": 2, ""offset_m"": -0.0702}"
41.3,routing_cmd,detergent,"{""zone"": ""B"", ""carrier"": 2}"
41.3167,item_spawned,pouf,"{""zone_true"": ""C""}"
43.4167,tilt_cmd,detergent,"{""carrier"": 2, ""station"": ""B"", ""target_deg"": -37.12}"
43.85,tilt_full,detergent,"{""carrier"": 2, ""tilt_ms"": 433.3}"
44.2667,discharge_confirmed,detergent,"{""carrier"": 2, ""station"": ""B"", ""latency_ms"": 700.0}"
46.65,item_detected,pouf,
46.7833,item_delivered,detergent,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.388, 5.707, 0.767]}"
47.1333,item_classified,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [445.6, 412.4, 264.0], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
47.55,escapement_release,pouf,"{""carrier"": 5, ""zone"": ""C"", ""t_land_est"": 48.505, ""len_m"": 0.446, ""bias"": -0.05}"
48.55,induction_landed,pouf,"{""carrier"": 5, ""offset_m"": -0.0318}"
48.55,routing_cmd,pouf,"{""zone"": ""C"", ""carrier"": 5}"
48.6667,item_spawned,lunchbox,"{""zone_true"": ""B""}"
48.7,tilt_cmd,pouf,"{""carrier"": 5, ""station"": ""C"", ""target_deg"": 38.12}"
49.1667,tilt_full,pouf,"{""carrier"": 5, ""tilt_ms"": 466.7}"
49.4833,item_delivered,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.532, 2.492, 0.416]}"
54.0167,item_detected,lunchbox,
54.5,item_classified,lunchbox,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [191.9, 142.4, 61.5], ""reason"": ""fits, no circle evidence: circ=0.69 sect=0.00 dome=0.16 flank=30.6mm elong=1.4 h/w=0.43"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
54.85,escapement_release,lunchbox,"{""carrier"": 8, ""zone"": ""B"", ""t_land_est"": 55.705, ""len_m"": 0.192, ""bias"": 0.0}"
55.5167,item_spawned,sack,"{""zone_true"": ""D""}"
55.6667,induction_landed,lunchbox,"{""carrier"": 8, ""offset_m"": -0.0666}"
55.6667,routing_cmd,lunchbox,"{""zone"": ""B"", ""carrier"": 8}"
57.3667,tilt_cmd,lunchbox,"{""carrier"": 8, ""station"": ""B"", ""target_deg"": -32.65}"
57.7833,tilt_full,lunchbox,"{""carrier"": 8, ""tilt_ms"": 416.7}"
58.3833,discharge_confirmed,lunchbox,"{""carrier"": 8, ""station"": ""B"", ""latency_ms"": 866.7}"
60.7833,item_delivered,lunchbox,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.274, 5.701, 0.731]}"
60.8,item_detected,sack,
61.2833,item_classified,sack,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 0.75, ""sensor_miss"": false, ""dims_mm"": [185.2, 167.4, 163.4], ""reason"": ""circle evidence: circ=0.87 sect=0.00 dome=0.59 flank=56.6mm elong=1.1 h/w=1.02"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
62.0,escapement_release,sack,"{""carrier"": 2, ""zone"": ""D"", ""t_land_est"": 62.905, ""len_m"": 0.185, ""bias"": 0.0}"
62.7833,item_spawned,plate,"{""zone_true"": ""D""}"
62.8333,induction_landed,sack,"{""carrier"": 2, ""offset_m"": -0.0374}"
62.8333,routing_cmd,sack,"{""zone"": ""D"", ""carrier"": 2}"
65.2667,tilt_cmd,sack,"{""carrier"": 2, ""station"": ""D"", ""target_deg"": 32.1}"
65.6833,tilt_full,sack,"{""carrier"": 2, ""tilt_ms"": 416.7}"
66.1667,item_delivered,sack,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.65, 2.492, 0.349]}"
68.15,item_detected,plate,
68.6333,item_classified,plate,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [200.8, 199.8, 26.6], ""reason"": ""circle evidence: circ=0.94 sect=0.00 dome=0.50 flank=25.8mm elong=1.0 h/w=0.13"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
69.2,escapement_release,plate,"{""carrier"": 5, ""zone"": ""D"", ""t_land_est"": 70.105, ""len_m"": 0.201, ""bias"": 0.0}"
