t,event,slug,data
1.0167,item_spawned,unkclip_04_cyl,"{""zone_true"": ""D""}"
6.2833,item_detected,unkclip_04_cyl,
6.2833,vision_capture,unkclip_04_cyl,
6.7667,item_classified,unkclip_04_cyl,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [16.5, 12.3, 11.8], ""reason"": ""persistent D evidence: 5/5 reads"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
6.9667,escapement_release,unkclip_04_cyl,"{""carrier"": 3, ""zone"": ""D"", ""t_land_est"": 7.705, ""len_m"": 0.017, ""bias"": 0.0}"
7.7667,induction_landed,unkclip_04_cyl,"{""carrier"": 3, ""offset_m"": -0.1133}"
7.7667,routing_cmd,unkclip_04_cyl,"{""zone"": ""D"", ""carrier"": 3}"
8.55,item_spawned,unkclip_05_hull,"{""zone_true"": ""D""}"
10.0667,tilt_cmd,unkclip_04_cyl,"{""carrier"": 3, ""station"": ""D"", ""target_deg"": 32.34}"
10.4833,tilt_full,unkclip_04_cyl,"{""carrier"": 3, ""tilt_ms"": 416.7}"
11.0667,item_delivered,unkclip_04_cyl,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.587, 2.49, 0.242]}"
13.8167,item_detected,unkclip_05_hull,
13.8167,vision_capture,unkclip_05_hull,
14.3,item_classified,unkclip_05_hull,"{""zone"": ""C"", ""zone_true"": ""D"", ""correct"": false, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [13.8, 12.0, 9.1], ""reason"": ""undersize: dim 9.1 mm below certification floor 10.8 mm [macro head: 5 reads, floor 10.8 mm]"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
15.2833,escapement_release,unkclip_05_hull,"{""carrier"": 5, ""zone"": ""C"", ""t_land_est"": 16.105, ""len_m"": 0.014, ""bias"": 0.0}"
16.1,induction_landed,unkclip_05_hull,"{""carrier"": 5, ""offset_m"": -0.0723}"
16.1,routing_cmd,unkclip_05_hull,"{""zone"": ""C"", ""carrier"": 5}"
16.1333,item_spawned,unkclip_25_hex,"{""zone_true"": ""D""}"
16.2667,tilt_cmd,unkclip_05_hull,"{""carrier"": 5, ""station"": ""C"", ""target_deg"": 32.5}"
16.7333,tilt_full,unkclip_05_hull,"{""carrier"": 5, ""tilt_ms"": 466.7}"
17.2667,item_delivered,unkclip_05_hull,"{""zone"": ""C"", ""zone_true"": ""D"", ""ok"": false, ""pos"": [7.554, 2.489, 0.239]}"
21.3833,item_detected,unkclip_25_hex,
21.3833,vision_capture,unkclip_25_hex,
21.8667,item_classified,unkclip_25_hex,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [120.2, 109.1, 103.9], ""reason"": ""circle evidence: circ=0.74 sect=0.00 sweep=0.90 dome=0.34 flank=23.9mm elong=1.1 h/w=0.95"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
22.4,item_spawned,unkclip_06_thin_plate,"{""zone_true"": ""C""}"
22.45,escapement_release,unkclip_25_hex,"{""carrier"": 8, ""zone"": ""D"", ""t_land_est"": 23.305, ""len_m"": 0.12, ""bias"": 0.0}"
23.2333,induction_landed,unkclip_25_hex,"{""carrier"": 8, ""offset_m"": -0.0512}"
23.2333,routing_cmd,unkclip_25_hex,"{""zone"": ""D"", ""carrier"": 8}"
25.6667,tilt_cmd,unkclip_25_hex,"{""carrier"": 8, ""station"": ""D"", ""target_deg"": 32.25}"
26.0833,tilt_full,unkclip_25_hex,"{""carrier"": 8, ""tilt_ms"": 416.7}"
26.6,item_delivered,unkclip_25_hex,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.625, 2.487, 0.304]}"
27.65,item_detected,unkclip_06_thin_plate,
27.65,vision_capture,unkclip_06_thin_plate,
28.1333,item_classified,unkclip_06_thin_plate,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [244.9, 200.6, 6.2], ""reason"": ""undersize: dim 6.2 mm below certification floor 10.8 mm [macro head: 3 reads, floor 10.8 mm]"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
28.3667,escapement_release,unkclip_06_thin_plate,"{""carrier"": 3, ""zone"": ""C"", ""t_land_est"": 29.305, ""len_m"": 0.245, ""bias"": 0.0}"
29.2333,induction_landed,unkclip_06_thin_plate,"{""carrier"": 3, ""offset_m"": -0.041}"
29.2333,routing_cmd,unkclip_06_thin_plate,"{""zone"": ""C"", ""carrier"": 3}"
29.3167,item_spawned,unkclip_02_thin_plate,"{""zone_true"": ""B""}"
29.5167,tilt_cmd,unkclip_06_thin_plate,"{""carrier"": 3, ""station"": ""C"", ""target_deg"": 38.38}"
29.9667,tilt_full,unkclip_06_thin_plate,"{""carrier"": 3, ""tilt_ms"": 450.0}"
30.4167,item_delivered,unkclip_06_thin_plate,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.601, 2.478, 0.231]}"
34.55,item_detected,unkclip_02_thin_plate,
35.0333,item_classified,unkclip_02_thin_plate,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [50.2, 38.1, 13.9], ""reason"": ""fits, no circle evidence: circ=0.66 sect=0.00 sweep=0.27 dome=0.00 flank=n/a elong=1.3 h/w=0.37 [macro head: 4 reads, floor 10.8 mm]"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
35.6833,escapement_release,unkclip_02_thin_plate,"{""carrier"": 6, ""zone"": ""B"", ""t_land_est"": 36.505, ""len_m"": 0.05, ""bias"": 0.0}"
36.0667,item_spawned,unkclip_01_hex,"{""zone_true"": ""C""}"
36.4333,induction_landed,unkclip_02_thin_plate,"{""carrier"": 6, ""offset_m"": -0.0457}"
36.4333,routing_cmd,unkclip_02_thin_plate,"{""zone"": ""B"", ""carrier"": 6}"
38.1667,tilt_cmd,unkclip_02_thin_plate,"{""carrier"": 6, ""station"": ""B"", ""target_deg"": -32.32}"
38.5833,tilt_full,unkclip_02_thin_plate,"{""carrier"": 6, ""tilt_ms"": 416.7}"
39.1667,discharge_confirmed,unkclip_02_thin_plate,"{""carrier"": 6, ""station"": ""B"", ""latency_ms"": 850.0}"
